DATE ,country , NEW Cases,NEW_DEATHS,vaccinated 
2024-11-01,Argentina,,,unknown
2024-11-01,Australia,0.0,0.0,327
2024-11-01,Australia,0.0,0.0,327
2024-11-01,Brazil,971.0,48.0,430
2024-11-01,Canada,176.0,8.0,unknown
2024-11-01,China,1034.0,51.0,462
2024-11-02,Argentina,23.0,1.0,195
2024-11-02,Australia,0.0,,336
2024-11-02,Brazil,185.0,9.0,173
2024-11-02,Canada,615.0,30.0,369
2024-11-02,China,376.0,18.0,61
2024-11-03,Argentina,337.0,16.0,425
2024-11-03,Australia,,,474
2024-11-03,Brazil,641.0,,47
2024-11-03,Canada,785.0,39.0,320
2024-11-03,China,35.0,1.0,369
2024-11-04,Argentina,96.0,4.0,383
2024-11-04,Australia,0.0,0.0,440
2024-11-04,Brazil,793.0,39.0,137
2024-11-04,Brazil,793.0,39.0,137
2024-11-04,Canada,884.0,44.0,493
2024-11-04,China,696.0,34.0,unknown
2024-11-05,Argentina,283.0,,41
2024-11-05,Australia,140.0,7.0,450
2024-11-05,Brazil,638.0,31.0,346
11/05/2024,Canada,867.0,43.0,485
2024-11-05,China,772.0,38.0,359
2024-11-06,Argentina,377.0,18.0,418
2024-11-06,Australia,351.0,17.0,401
2024-11-06,Brazil,10.0,0.0,2
2024-11-06,Canada,152.0,,421
2024-11-06,China,483.0,24.0,383
2024-11-07,Argentina,391.0,19.0,75
2024-11-07,Australia,423.0,21.0,339
2024-11-07,Brazil,605.0,30.0,121
11/07/2024,Canada,560.0,28.0,449
2024-11-07,China,0.0,0.0,115
2024-11-08,Argentina,665.0,33.0,unknown
2024-11-08,Australia,313.0,15.0,486
2024-11-08,Australia,313.0,15.0,486
2024-11-08,Brazil,212.0,,313
2024-11-08,Canada,404.0,20.0,484
2024-11-08,China,444.0,22.0,276
2024-11-09,Argentina,376.0,18.0,174
2024-11-09,Australia,268.0,13.0,358
2024-11-09,Brazil,918.0,45.0,57
2024-11-09,Canada,320.0,16.0,476
2024-11-09,China,853.0,42.0,252
2024-11-10,Argentina,454.0,22.0,142
2024-11-10,Australia,405.0,20.0,unknown
2024-11-10,Brazil,57.0,2.0,18
2024-11-10,Canada,209.0,10.0,418
2024-11-10,China,0.0,0.0,171
11/11/2024,Argentina,532.0,26.0,378
2024-11-11,Australia,403.0,20.0,454
2024-11-11,Brazil,,,285
2024-11-11,Canada,0.0,0.0,471
2024-11-11,China,226.0,11.0,493
2024-11-12,Argentina,217.0,10.0,70
2024-11-12,Australia,796.0,,433
2024-11-12,Brazil,,,182
2024-11-12,Canada,120.0,6.0,404
2024-11-12,China,422.0,21.0,448
2024-11-13,Argentina,560.0,28.0,451
2024-11-13,Australia,783.0,,436
2024-11-13,Brazil,591.0,29.0,102
2024-11-13,Canada,436.0,21.0,344
2024-11-13,China,246.0,12.0,107
2024-11-14,Argentina,806.0,40.0,11
2024-11-14,Argentina,806.0,40.0,11
2024-11-14,Australia,1018.0,50.0,328
2024-11-14,Brazil,640.0,32.0,481
2024-11-14,Canada,646.0,32.0,401
11/14/2024,China,718.0,35.0,unknown
2024-11-15,Argentina,728.0,36.0,unknown
2024-11-15,Australia,770.0,38.0,382
2024-11-15,Brazil,,,unknown
2024-11-15,Canada,717.0,35.0,369
2024-11-15,China,345.0,17.0,301
